document_id,original_filename,stored_filename,status_before,page_count_before,status,page_count,item_count,elapsed_sec
doc_20260621_07a0ed,File_F172F128B5.pdf,doc_20260621_07a0ed.pdf,parsed,3,parsed,3,31,0.9781
doc_20260621_14554a,File_A48F6B1B8D.pdf,doc_20260621_14554a.pdf,parsed,5,parsed,5,11,0.8005
doc_20260621_14978e,File_EEC000BC4F.pdf,doc_20260621_14978e.pdf,parsed,1,parsed,1,2,0.6247
doc_20260621_1cd7e9,File_D13E6B35B6.pdf,doc_20260621_1cd7e9.pdf,parsed,3,parsed,3,10,0.745
doc_20260621_325eac,File_D53BEB4ABA.pdf,doc_20260621_325eac.pdf,parsed,2,parsed,2,14,1.0316
doc_20260621_7bae57,File_EADE1587D4.pdf,doc_20260621_7bae57.pdf,parsed,4,parsed,4,25,0.589
doc_20260621_979a98,File_13FD534D9F.pdf,doc_20260621_979a98.pdf,parsed,1,parsed,1,4,0.4919
doc_20260621_aa12b5,File_F5E50D39CB.pdf,doc_20260621_aa12b5.pdf,parsed,2,parsed,2,7,0.5383
doc_20260621_c2a474,File_2811F1DF6D.pdf,doc_20260621_c2a474.pdf,parsed,3,parsed,3,12,0.6704
doc_20260621_d2340b,File_5E51E80A8C.pdf,doc_20260621_d2340b.pdf,needs_ocr,4,needs_ocr,4,0,0.2625
